Count,Noun,Verb,Letter,adjective,morphological,The,diacritic,Outcome,Word
4.0,1.0,0.0,0,0,2.0,0,2.0,0,8e117a32510d41082681de68937befd3f564c349067ec55136e0cbfd08f477b8
5.0,1.0,0.0,0,0,2.0,0,3.0,0,b401e637ead22b50ca3012befa3c55901d2248781750edb463802662103a0e12
5.0,1.0,0.0,0,0,2.0,0,1.0,0,c2132540fedae6dba455d57553753448f7685171ac60dd64be0e691c16afff2c
5.0,1.0,0.0,0,0,2.0,0,1.0,0,50faa6a497e42d511ba571d20f5f1ceb122578eab3d7a756065298f19356fcda
2.0,3.0,0.0,0,0,2.0,0,3.0,0,e54e0a389d25b651efec32f119e89f23e02cadb00b2ab34ed78aceebfef7fb15
6.0,6.0,0.0,0,0,2.0,0,3.0,0,128ed0f7c9249594643e07505d32552b91f629ce0aa3f22a8680b77ff86cf49e
5.0,6.0,0.0,0,0,2.0,0,2.0,0,98fcbf16cc64d8e6e9f40bd494b29a53e1c11a2b1842df3e3dc0aa28f46cfe54
6.0,8.0,0.0,0,0,2.0,0,3.0,0,3817bd91e8d6e8df6a1330df1fdca75f97745eb2155037a8dcb7024a270c4e04
7.0,8.0,0.0,0,0,2.0,0,1.0,0,0a864599c8d2b16bd3c924f64404e7d5011ffe1257f2e170ab930fbd064203d1
7.0,1.0,0.0,0,0,2.0,0,2.0,0,49ac265078d739e85e079980712ed1ff0dd36e6aad15a79cbef6d4f553b8ad86
5.0,6.0,0.0,0,0,6.0,0,1.0,0,a1e7568a70ec992175c5f91b1e37fec02ed5c71f4ec6920797f7834dd080d143
5.0,6.0,0.0,0,0,6.0,0,1.0,0,6870fe4c28b5368f13b9faf5e03c68215e564da55f8c193ae3edb3af9a074081
3.0,0.0,0.0,1,0,2.0,0,1.0,0,c5deccd06ac2f27c6f22202f148e1985f8dd0d51db1b7a9a83b6fab272d24725
4.0,0.0,1.0,0,0,2.0,0,1.0,0,194bc6d18988c1dc0e8e7fd7e505aec6b811c8f8e4a99c1f95be605b0bbf4980
4.0,0.0,1.0,0,0,2.0,0,1.0,0,e319e574d936dce5e076f92d67beb7b217086812e401b8664f739264e20049c7
2.0,0.0,0.0,1,0,1.0,0,1.0,0,2553faf2d7c4285c0e8c83fcc1cc5045ae1410e59581ca876a9cc7a86ddd5a2c
3.0,0.0,0.0,1,0,1.0,0,2.0,0,97fe3fe5b0630302287817b5b01e9ccafd6f040285ab1d4d19f54311ce95d316
4.0,0.0,1.0,0,0,2.0,0,1.0,0,51da7d1118879412e004a9b210ccd0d178b252ebe44eb8dbc60b25bc69906be1
3.0,0.0,0.0,0,0,1.0,0,2.0,0,4bb24bdb4c25bf38d9d07476cd8c7fadbfdb467cc786e4eb6ea9731ac4b45337
2.0,0.0,0.0,0,0,1.0,0,2.0,0,519e7e53fa9f4d008d93b620b86fdf0badd3824b2b17330b86408bbb8536b47d
4.0,0.0,1.0,0,0,2.0,0,1.0,0,b2a4a69516365670ae3972d4b72a0e1bf63a034add33e97f904f159dc898b298
4.0,0.0,3.0,0,0,2.0,0,1.0,0,128002d1a13a09ea0bb2504143758c6da81b30de6fad011b3a409714cc2aa49f
5.0,6.0,0.0,0,0,6.0,0,2.0,0,36b0ac2b095843a3280eb511e567578cfad234d1613a24aa32d42ac19137229f
4.0,0.0,1.0,0,0,2.0,0,1.0,0,db99180bd7ebd71bcfaff5fea4849e874caf955680fe8043e3d3a09ff4ff10a3
4.0,0.0,3.0,0,0,2.0,0,1.0,0,6bc8ee0da6f96ca119c7b140462106078243ca1f89f0bfe3854f3f874bf3e7f3
5.0,6.0,0.0,0,0,6.0,0,2.0,0,6a59bedd923ee3a7ca7e951d592e260f4f05fef223c878f0ec66d6595730d208
