ID,Count,Noun,Verb,Letter,adjective,morphological,The,diacritic
1,4,1,0,0,0,2,0,2
2,5,1,0,0,0,2,0,3
3,5,1,0,0,0,2,0,1
4,4,1,0,0,0,2,0,1
5,4,1,0,0,0,2,0,1
6,5,1,0,0,0,2,0,1
7,2,3,0,0,0,2,0,1
8,2,6,0,0,0,2,0,3
9,2,3,0,0,0,2,0,3
10,4,6,0,0,0,2,0,3
11,4,6,0,0,0,2,0,3
12,6,6,0,0,0,2,0,3
13,4,6,0,0,0,2,0,3
14,5,7,0,0,0,2,0,3
15,5,6,0,0,0,2,0,3
16,5,6,0,0,0,2,0,2
17,5,6,0,0,0,2,0,2
18,5,6,0,0,0,2,0,2
19,5,6,0,0,0,2,0,2
20,2,6,0,0,0,2,0,1
21,4,1,0,0,0,2,0,1
22,5,6,0,0,0,2,0,2
23,4,6,0,0,0,2,0,1
24,6,8,0,0,0,2,0,3
25,7,8,0,0,0,2,0,1
26,5,1,0,0,0,2,0,1
27,7,1,0,0,0,2,0,2
28,3,9,0,0,0,1,0,1
29,5,6,0,0,0,6,0,1
30,5,6,0,0,0,6,0,1
31,3,2,0,0,0,1,0,2
32,3,2,0,0,0,1,0,2
33,4,2,0,0,0,1,0,2
34,4,2,0,0,0,1,0,3
35,5,2,0,0,0,1,0,2
36,5,2,0,0,0,1,0,2
37,6,2,0,0,0,1,0,2
38,3,2,0,0,0,1,0,1
39,4,2,0,0,0,1,0,1
40,3,0,0,1,0,2,0,2
41,3,0,0,1,0,2,0,1
42,4,0,1,0,0,2,0,1
43,4,0,1,0,0,2,0,1
44,2,0,0,1,0,1,0,1
45,3,0,0,1,0,1,0,2
46,4,0,1,0,0,2,0,1
47,5,6,0,0,0,1,1,1
48,7,6,0,0,0,1,1,1
49,6,6,0,0,0,1,1,1
4,1,1,0,0,2,1,2,1
5,0,0,1,0,2,0,3,1
5,1,1,0,0,2,1,1,1
4,1,0,0,0,2,0,1,1
4,1,1,0,0,2,0,1,1
5,1,0,1,0,2,0,1,1
2,3,0,0,1,2,0,1,1
2,6,0,0,0,2,1,3,1
2,3,0,0,0,3,0,3,1
4,6,0,0,1,2,0,3,2
4,6,0,1,0,2,0,3,2
6,6,0,0,0,3,0,3,1
4,6,1,0,0,2,0,3,1
5,7,0,0,0,2,0,3,1
5,6,0,0,0,1,0,3,2
65,4,0,1,0,0,2,0,1
66,4,0,3,0,0,2,0,1
67,5,6,0,0,0,6,0,2
68,4,0,1,0,0,2,0,1
69,4,0,3,0,0,2,0,1
70,4,6,0,0,0,6,0,2
71,4,0,1,0,0,2,0,1
72,4,0,3,0,0,2,0,1
73,5,6,0,0,0,6,0,2
74,5,6,0,0,0,6,0,1
75,5,6,0,0,0,6,0,1
76,5,6,0,0,0,6,0,1
77,6,6,0,0,0,6,0,2
78,5,0,3,0,0,2,0,2
79,4,0,3,0,0,2,0,2
80,4,0,3,0,0,2,0,2
81,4,0,3,0,0,2,0,2
82,4,0,3,0,0,2,0,2
83,4,0,3,0,0,2,0,2
84,4,0,3,0,0,2,0,2
85,4,0,3,0,0,2,0,2
86,4,0,3,0,0,2,0,2
87,4,0,3,0,0,2,0,3
88,4,0,3,0,0,2,0,2
89,4,0,1,0,0,2,0,2
90,3,0,1,0,0,1,0,1
91,4,6,0,0,0,1,0,1
92,3,0,1,0,0,7,0,1
93,4,6,0,0,0,7,0,1
94,3,0,1,0,0,1,0,1
95,4,6,0,0,0,6,0,1
96,4,0,3,0,0,2,0,1
97,6,0,3,0,0,8,0,1
98,5,0,3,0,0,7,0,1
99,5,0,3,0,0,2,0,2
100,7,6,0,0,0,1,1,1
101,6,4,0,0,0,1,1,1
102,3,0,1,0,0,1,0,1
103,4,0,1,0,0,2,0,1
104,5,0,2,0,0,2,0,1
105,4,6,0,0,0,6,0,1
106,5,6,0,0,0,6,0,1
107,3,6,0,0,0,2,0,1
108,3,6,0,0,0,11,0,1
109,3,6,0,0,0,11,0,1
110,4,6,0,0,0,11,0,1
111,4,6,0,0,0,11,0,1
112,4,6,0,0,0,11,0,1
113,5,0,1,0,0,7,0,2
114,5,0,3,0,0,7,0,2
115,6,6,0,0,0,9,0,2
116,5,0,1,0,0,7,0,2
117,5,0,0,0,0,7,0,2
118,6,6,0,0,0,4,0,2
119,5,0,1,0,0,7,0,2
120,5,0,3,0,0,7,0,2
121,6,6,0,0,0,4,0,2
122,5,0,1,0,0,7,0,2
123,5,0,3,0,0,7,0,2
124,5,6,0,0,0,4,0,2
125,6,0,1,0,0,8,0,2
126,5,0,3,0,0,8,0,2
127,7,6,0,0,0,8,0,2
128,6,0,1,0,0,8,0,2
129,5,0,3,0,0,8,0,2
130,7,6,0,0,0,8,0,2
131,6,0,1,0,0,8,0,2
132,6,0,3,0,0,8,0,2
133,7,6,0,0,0,9,0,2
134,5,0,1,0,0,1,0,2
135,5,0,3,0,0,7,0,2
136,7,6,0,0,0,4,0,2
137,5,6,0,0,0,6,0,2
138,7,6,0,0,0,9,0,2
139,4,1,0,0,0,6,0,2
140,5,6,0,0,0,6,0,2
141,5,6,0,0,0,6,0,2
142,5,1,0,0,0,6,0,2
143,5,8,0,0,0,6,0,2
144,5,6,0,0,0,6,0,2
145,5,6,0,0,0,6,0,2
146,5,1,0,0,0,6,0,2
147,2,5,0,0,0,2,0,3
148,5,6,0,0,0,4,0,3
149,5,6,0,0,0,11,0,3
150,3,0,0,0,0,1,0,1
151,4,6,0,0,0,2,0,3
152,6,6,0,0,0,4,0,3
153,5,0,2,0,0,6,0,3
154,5,0,2,0,0,6,0,3
155,5,0,2,0,0,6,0,3
156,6,6,0,0,0,5,0,3
157,5,6,0,0,0,5,0,3
158,4,5,0,0,0,2,0,4
159,4,1,0,0,0,6,0,4
160,4,6,0,0,0,6,0,4
161,4,6,0,0,0,6,0,4
162,3,6,0,0,0,6,0,4
163,3,6,0,0,0,6,0,4
164,4,6,0,0,0,6,0,4
165,4,6,0,0,0,6,0,4
166,4,6,0,0,0,6,0,4
167,4,6,0,0,0,6,0,4
168,3,0,1,0,0,6,0,4
169,3,6,0,0,0,6,0,4
170,3,6,0,0,0,6,0,4
171,4,0,3,0,0,2,0,3
172,3,0,3,0,0,2,0,3
173,4,0,3,0,0,6,0,2
174,4,0,3,0,0,2,0,2
175,4,0,3,0,0,2,0,2
176,4,0,3,0,0,2,0,2
177,4,0,3,0,0,2,0,2
178,5,0,3,0,0,7,0,2
179,5,0,3,0,0,7,0,2
180,5,0,3,0,0,7,0,2
181,6,0,3,0,0,7,0,2
182,6,0,3,0,0,8,0,2
183,6,6,0,0,0,9,0,2
184,6,0,1,0,0,8,0,2
185,6,0,3,0,0,8,0,2
186,7,6,0,0,0,9,0,2
187,6,0,1,0,0,8,0,2
188,6,0,3,0,0,8,0,2
189,7,6,0,0,0,9,0,2
190,5,0,3,0,0,7,0,2
191,5,0,3,0,0,7,0,2
192,5,0,3,0,0,7,0,2
193,5,0,3,0,0,7,0,2
194,5,0,3,0,0,7,0,2
195,5,0,3,0,0,7,0,2
196,5,0,3,0,0,7,0,2
197,5,0,3,0,0,7,0,2
198,5,0,3,0,0,7,0,2
199,5,0,3,0,0,7,0,2
200,5,0,3,0,0,7,0,2
201,5,0,3,0,0,7,0,2
202,5,0,3,0,0,7,0,2
203,4,1,0,0,0,2,0,1
204,4,0,0,0,0,2,0,1
205,4,0,1,0,0,2,0,1
206,4,0,1,0,0,2,0,1
207,4,0,1,0,0,2,0,1
208,4,0,1,0,0,2,0,1
209,4,0,1,0,0,2,0,1
210,4,0,1,0,0,2,0,1
211,4,0,1,0,0,2,0,1
212,4,0,1,0,0,2,0,1
213,4,0,0,1,0,2,0,2
214,5,6,0,0,0,6,0,2
215,5,6,0,0,0,6,0,2
216,7,8,0,0,0,5,0,2
217,7,8,0,0,0,5,0,2
218,5,6,0,0,0,6,0,2
219,5,6,0,0,0,6,0,2
220,5,6,0,0,0,6,0,2
221,5,6,0,0,0,6,0,1
222,5,6,0,0,0,6,0,1
223,4,6,0,0,0,6,0,1
224,5,6,0,0,0,6,0,1
225,5,6,0,0,0,6,0,1
226,4,0,1,0,0,2,0,1
227,4,6,0,0,0,2,0,1
228,4,6,0,0,0,2,0,1
229,6,6,0,0,0,5,0,3
230,5,6,0,0,0,5,0,1
231,8,8,0,0,0,5,0,3
232,6,1,0,0,0,5,0,3
233,3,1,0,0,0,6,0,1
234,7,6,0,0,0,11,1,1
235,6,6,0,0,0,11,1,1
236,6,6,0,0,0,11,1,1
237,5,6,0,0,0,11,1,1
238,6,6,0,0,0,11,1,1
239,6,6,0,0,0,11,1,1
240,5,6,0,0,0,11,1,1
241,6,6,0,0,0,11,1,1
242,4,0,3,0,0,2,0,2
243,4,0,3,0,0,2,0,2
244,5,0,1,0,0,7,0,2
245,5,0,3,0,0,7,0,2
246,6,6,0,0,0,4,0,2
247,6,6,0,0,0,4,0,2
248,6,6,0,0,0,4,0,2
249,5,0,1,0,0,7,0,2
250,5,0,3,0,0,7,0,2
251,3,0,3,0,0,2,0,2
252,6,0,3,0,0,8,0,2
253,7,3,0,0,0,9,0,2
254,6,0,1,0,0,8,0,2
255,6,0,3,0,0,8,0,2
256,7,6,0,0,0,9,0,2
257,6,0,1,0,0,8,0,2
258,6,0,3,0,0,8,0,2
259,7,6,0,0,0,9,0,2
260,6,0,1,0,0,8,0,2
261,6,0,3,0,0,8,0,2
262,6,6,0,0,0,9,0,2
263,4,4,0,0,0,1,1,1
264,4,4,0,0,0,1,1,1
265,6,4,0,0,0,1,1,1
266,6,4,0,0,0,1,1,1
267,5,4,0,0,0,1,1,1
268,7,4,0,0,0,1,1,1
269,5,4,0,0,0,1,1,1
