Word,Count,Noun,Verb,Letter,adjective,morphological,The,diacritic,Outcome
إسلام,4,1,0,0,0,2,0,2,0
أسامه,5,1,0,0,0,2,0,3,0
أسماء,5,1,0,0,0,2,0,1,0
أسيل,4,1,0,0,0,2,0,1,0
أنور,4,1,0,0,0,2,0,1,0
أبرار,5,1,0,0,0,2,0,1,0
أبٌ,2,3,0,0,0,2,0,1,0
أم,2,6,0,0,0,2,0,3,0
أخٌ,2,3,0,0,0,2,0,3,0
أسره,4,6,0,0,0,2,0,3,0
أنثى,4,6,0,0,0,2,0,3,0
أكتوبر,6,6,0,0,0,2,0,3,0
أخرى,4,6,0,0,0,2,0,3,0
أولئك,5,7,0,0,0,2,0,3,0
أسبوع,5,6,0,0,0,2,0,3,0
إفاده,5,6,0,0,0,2,0,2,0
إنتاج,5,6,0,0,0,2,0,2,0
إهمال,5,6,0,0,0,2,0,2,0
إشراف,5,6,0,0,0,2,0,2,0
أخ,2,6,0,0,0,2,0,1,0
أريج,4,1,0,0,0,2,0,1,0
إداره,5,6,0,0,0,2,0,2,0
أداة,4,6,0,0,0,2,0,1,0
أوروبا,6,8,0,0,0,2,0,3,0
أفريقيا,7,8,0,0,0,2,0,1,0
أماني,5,1,0,0,0,2,0,1,0
إبراهيم,7,1,0,0,0,2,0,2,0
أين,3,9,0,0,0,1,0,1,0
أنهار,5,6,0,0,0,6,0,1,0
أوراق,5,6,0,0,0,6,0,1,0
اسم,3,2,0,0,0,1,0,2,1
ابن,3,2,0,0,0,1,0,2,1
ابنة,4,2,0,0,0,1,0,2,1
امرؤ,4,2,0,0,0,1,0,3,1
امرأة,5,2,0,0,0,1,0,2,1
اثنان,5,2,0,0,0,1,0,2,1
اثنتان,6,2,0,0,0,1,0,2,1
ايم الله,3,2,0,0,0,1,0,1,1
ايمن الله,4,2,0,0,0,1,0,1,0
إنَّ,3,0,0,1,0,2,0,2,0
أنَّ,3,0,0,1,0,2,0,1,0
أصبح,4,0,1,0,0,2,0,1,0
أمسى,4,0,1,0,0,2,0,1,0
أو,2,0,0,1,0,1,0,1,0
إلى,3,0,0,1,0,1,0,2,0
أضحى,4,0,1,0,0,2,0,1,0
الرجل,5,6,0,0,0,1,1,1,1
المهندس,7,6,0,0,0,1,1,1,1
الشجرة,6,6,0,0,0,1,1,1,1
الانسان,5,6,0,0,0,1,1,1,1
الأنبياء,6,6,0,0,0,1,1,1,1
السلام,5,6,0,0,0,1,1,1,1
الاب,3,6,0,0,0,1,1,1,1
الابن,4,6,0,0,0,1,1,1,1
الأرض,4,6,0,0,0,1,1,1,1
اللاعبون,7,6,0,0,0,1,1,1,1
الوقت,5,6,0,0,0,1,1,1,1
الاستمرار,8,6,0,1,0,1,1,1,1
إذا,3,0,0,0,0,1,0,2,0
إذ,2,0,0,0,0,1,0,2,0
أنى,3,7,0,0,0,2,0,1,0
أقبلَ,4,0,1,0,0,2,0,1,0
أقبلْ,4,0,3,0,0,2,0,1,0
إقبال,5,6,0,0,0,6,0,2,0
أخرجَ,4,0,1,0,0,2,0,1,0
أخرجْ,4,0,3,0,0,2,0,1,0
إخراج,5,6,0,0,0,6,0,2,0
أعلمَ,4,0,1,0,0,2,0,1,0
أعلمْ,4,0,3,0,0,2,0,1,0
إعلام,4,6,0,0,0,6,0,2,0
أبعدَ,4,0,1,0,0,2,0,1,0
أبعدْ,4,0,3,0,0,2,0,1,0
إبعاد,5,6,0,0,0,6,0,2,0
أفراد,5,6,0,0,0,6,0,1,0
أجسام,5,6,0,0,0,6,0,1,0
أصوات,5,6,0,0,0,6,0,1,0
إشارات,6,6,0,0,0,6,0,2,0
اشرب,5,0,3,0,0,2,0,2,1
العب,4,0,3,0,0,2,0,2,1
اقرأ,4,0,3,0,0,2,0,2,1
اكتب,4,0,3,0,0,2,0,2,1
انهض,4,0,3,0,0,2,0,2,1
ارحل,4,0,3,0,0,2,0,2,1
