Count,Noun,Verb,Letter,adjective,morphological,The,diacritic
4,1,1,0,0,2,1,2
5,0,0,1,0,2,0,3
5,1,1,0,0,2,1,1
4,1,0,0,0,2,0,1
2,3,0,0,0,3,0,3
4,6,0,0,1,2,0,3
4,6,0,1,0,2,0,3
6,6,0,0,0,3,0,3
4,6,1,0,0,2,0,3
5,6,0,0,1,2,0,2
5,6,0,1,0,2,0,2
5,6,1,0,0,2,0,2
4,0,1,0,1,2,0,1
5,6,0,1,0,1,1,1
7,6,0,0,1,1,1,1
6,6,0,1,0,1,1,1
3,6,0,1,0,1,1,1
4,6,2,0,0,1,1,1
4,6,0,0,2,1,1,1
4,6,0,0,0,2,0,1
6,8,0,0,0,2,0,3
7,8,0,0,0,2,0,1
5,1,0,0,0,2,0,1
5,6,0,0,0,6,0,1
5,6,0,0,0,1,1,1
3,6,0,0,0,1,1,1
4,6,0,0,0,1,1,1
4,6,0,0,0,1,1,1
